FLAT BAR LIST,,
20x10,65x12,130x6
25x5,65x16,130x8
25x6,65x20,130x10
25x8,75x5,130x12
25x10,75x6,130x16
25x12,75x8,130x20
32x5,75x10,130x25
32x6,75x12,150x5
32x8,75x16,150x6
32x10,75x20,150x8
32x12,75x25,150x10
40x5,75x40,150x12
40x6,90x6,150x16
40x8,90x8,150x20
40x10,90x10,150x25
40x12,90x12,150x50
40x16,100x5,180x6
40x20,100x6,180x10
50x5,100x8,180x12
50x6,100x10,180x20
50x8,100x12,200x6
50x10,100x16,200x8
50x12,100x20,200x10
50x16,100x25,200x12
50x20,100x50,200x16
50x25,110x6,200x20
65x5,110x8,200x25
65x6,110x10,250x6
65x8,110x12,250x8
65x10,130x5,250x10
,,250x12
,,300x6
,,300x8
,,300x10
,,300x12
